"week","mean","median","sd","skewness","kurtosis"
"2016-19",1813.63109939748,27,9817.73504056466,10.1631089238589,135.249462306031
"2016-20",2008.91551935689,43,9885.49288502679,10.1435577929532,135.172842708073
"2016-21",2440.82216322369,48,10815.2429469589,8.30815023293858,92.5682353077223
"2016-22",2879.92077588087,37,12616.0414798251,7.53720652804172,75.6481821546394
"2016-23",3520.0704607532,30,13225.1135513489,5.90360975904708,51.0553623202564
"2016-24",3499.09353503147,50,14719.4998272777,6.82807288652256,58.5358424970818
"2016-25",2781.03864858493,39,13191.0539555466,8.43082907511566,94.6839804301244
"2016-26",3929.53098833255,35,14042.1241882976,5.42716441167352,44.0959704993217
"2016-27",5016.6956969868,34,15280.5848233157,4.14986586682187,28.0725717572977
"2016-28",3956.45578464465,34,14148.8314939956,6.16144241139055,60.5781133268977
"2016-29",3824.65583678254,30,13885.7189432785,6.30978540606216,62.6450246853802
"2016-30",2741.8930808184,32,11083.7473612489,7.07972988049277,70.9242972672922
"2016-31",5808.28427313737,35,16468.8961281623,3.55455254782376,19.4515589920419
"2016-32",5628.73919100558,33,16492.7398715966,3.58222478799886,19.7208955294961
"2016-33",3403.98070681717,32,12923.2282296559,5.68798486718492,47.9884254610696
"2016-34",4380.97725279732,30,14842.2599684976,4.52333151511104,32.3459461207918
"2016-35",4388.26604842693,30,14784.7415744313,4.59956249600867,31.0555968767888
"2016-36",5659.36368723208,30,17020.2410946292,3.57335631735658,18.2696115173578
"2016-37",6275.23096517342,31,17793.2740147469,3.48619666742356,18.9609751979862
"2016-38",6543.45182347921,28,18499.6960328237,3.17287554423846,14.6969253548864
"2016-39",5506.42974156497,28,17054.9821416926,3.61562250945896,18.097184211013
"2016-40",5721.74779907079,24,17660.2631859121,3.53763776564868,17.3565393796851
"2016-41",3448.11889490734,29,13467.3643979248,5.82082242988853,48.5884409776044
"2016-42",5799.2358017729,48,17607.3888687135,3.95383397346481,23.2183735067187
"2016-43",7903.71788597705,74,19573.6871861316,3.42432933525866,18.5998272947371
"2016-44",5472.61375721856,32,17879.080999047,4.23646894232109,26.1233704825342
"2016-45",7031.35627404293,37,20557.6472933133,3.60820059748985,19.7625119031701
"2016-46",5829.91311008327,35,18333.409835855,3.94874550772952,21.9098248325868
"2016-47",2800.9171561769,38,12849.9470369685,7.42037064983898,71.851656247569
"2016-48",3911.02294613615,43,15648.0601090733,5.57238449458716,40.4829171191488
"2016-49",5188.69132846283,39,17731.1502250818,4.50241946547506,27.1315618728929
"2016-50",3593.70294347363,35,15123.3123611525,6.1067127451783,48.8277860110787
"2016-51",4370.40302184526,31,17407.6831528084,5.65681506036784,42.4037737703957
"2016-52",7034.63548854452,33,22254.043047442,3.92244531183667,21.4230455964392
"2017-01",3962.31083714777,33,17692.7374372038,6.91230246135477,59.6762735130998
"2017-02",4662.68271539059,32,18633.9958812646,5.60614604438492,41.4175038430312
"2017-03",2305.5750070905,29,12279.1301638544,11.1473147168334,162.919268308269
"2017-04",4487.92681470604,70,14665.0784705154,6.47604818923649,61.1472184620371
"2017-05",3278.19992724661,40,13048.7685460228,8.02407539723992,89.8935321014166
"2017-06",2581.00586675919,29,12738.2059729263,9.36386582588398,113.420194054465
"2017-07",2701.53891033444,29,13438.7991675298,9.84334239014263,126.091000960212
"2017-08",2893.07991687964,31,16529.5019069515,9.97501139377531,117.088150856165
"2017-09",2082.0804106534,25,12104.6673237191,11.1746013236361,154.490017130664
"2017-10",2433.76327422422,36,13070.0820498154,10.1180305282818,126.170886494464
"2017-11",3160.58703653196,31,14558.7132981753,8.42127333120653,91.7096916547621
"2017-12",2657.28258472221,23,13974.958874969,8.76013265838944,97.3489265919818
"2017-13",2380.87401086948,32,12154.6438487525,10.5827806786244,147.162675323522
"2017-14",2485.28847509743,30,12638.2857665992,9.96055072727732,132.23688698377
"2017-15",2104.62258547579,33,10890.7715377658,10.8928620334944,157.111581050648
"2017-16",1902.64097647568,37,11593.224328228,12.5916136567455,192.817378020446
"2017-17",1994.39361771445,33,11019.2369603117,11.8491141277214,182.306482096169
"2017-18",2591.62557946996,31,14787.1473718897,9.91008641840023,117.220258409576
"2017-19",2199.9661716755,23,12785.3570874957,10.9574602110834,149.530684681653
"2017-20",2532.79876431434,30,14517.9017630305,10.2336002916441,127.304235218592
"2017-21",3498.89286064997,35,17922.1303198916,8.39371496184863,85.130726984837
"2017-22",3164.71449220525,66,15179.8996433238,9.23142756502785,106.275114001863
"2017-23",4129.96368306939,47,19266.602953841,8.12239415249128,81.3960694756216
"2017-24",4430.35756405483,50,19454.0777445712,7.58982077697141,72.0045842696784
"2017-25",4767.46552087314,47,18888.508434533,6.97948985915236,62.7105872417156
"2017-26",4709.53332003664,51,18587.8988992285,7.47952386627536,73.7433007181994
"2017-27",4419.27680366088,59,17226.973757935,7.64248123329079,75.5815488782202
"2017-28",5341.72631784991,74,17775.388189365,6.61100224193796,61.9116452041328
"2017-29",4494.41123141852,83,16730.2879105613,7.55694309100137,78.6858623198924
"2017-30",6798.63830002827,106,21059.7985798755,5.86720998221274,47.5233115591033
"2017-31",9443.75955477694,170,26326.9241911895,5.12051919639034,36.1977816980794
"2017-32",4871.66374051282,36,20403.2885904984,7.3040720363234,68.8470145403421
"2017-33",4654.13137702513,30,21993.9108979081,7.06584973494202,60.1934431660635
"2017-34",3472.96174044527,31,18987.4512866053,8.84986179592218,93.3416886192889
"2017-35",5619.1167286322,50,22774.3244843774,6.64122064125743,56.4294148853672
"2017-36",3871.74791498382,43,18053.8435036597,8.09156000349001,81.5755605976577
"2017-37",4533.52375099253,33,19055.6112900252,7.06927082697513,64.7882955302202
"2017-38",4749.39608965414,36,18843.3050976984,6.6657568603696,59.9246298406062
"2017-39",4862.56950494943,44,19331.7971973187,6.92055727510026,65.4380017963291
"2017-40",4183.27666012705,46,19135.4951899745,8.5978901146248,94.0549490046309
"2017-41",4104.48374409087,42,18846.3693441503,7.96616666915775,80.5050857015435
"2017-42",7338.47113468825,41,25443.2832142443,4.701485266902,27.9390298237258
